,ultima_data_com,tipo,data_pgto,valor,tag
0,31/08/2022,Rendimento,14/09/2022,0.7,KNSC11
1,29/07/2022,Rendimento,11/08/2022,0.91,KNSC11
2,30/06/2022,Rendimento,13/07/2022,1.09,KNSC11
3,31/05/2022,Rendimento,13/06/2022,1.35,KNSC11
4,29/04/2022,Rendimento,12/05/2022,1.14,KNSC11
5,31/03/2022,Rendimento,13/04/2022,1.12,KNSC11
6,25/02/2022,Rendimento,14/03/2022,1.0,KNSC11
7,31/01/2022,Rendimento,11/02/2022,1.25,KNSC11
8,31/01/2022,Rendimento,11/01/2022,1.25,KNSC11
9,30/12/2021,Rendimento,13/01/2022,1.45,KNSC11
10,30/11/2021,Rendimento,13/12/2021,1.4,KNSC11
11,29/10/2021,Rendimento,12/11/2021,1.3,KNSC11
12,30/09/2021,Rendimento,14/10/2021,1.24,KNSC11
13,31/08/2021,Rendimento,14/09/2021,1.15,KNSC11
14,30/07/2021,Rendimento,12/08/2021,1.0,KNSC11
15,30/06/2021,Rendimento,13/07/2021,0.95,KNSC11
16,31/05/2021,Rendimento,14/06/2021,1.0,KNSC11
17,30/04/2021,Rendimento,13/05/2021,0.93,KNSC11
18,31/03/2021,Rendimento,14/04/2021,0.91,KNSC11
19,26/02/2021,Rendimento,11/03/2021,1.08,KNSC11
20,29/01/2021,Rendimento,11/02/2021,1.28,KNSC11
21,30/12/2020,Rendimento,14/01/2021,0.88,KNSC11
22,30/11/2020,Rendimento,11/12/2020,0.48,KNSC11
