,ultima_data_com,tipo,data_pgto,valor,tag
0,31/08/2022,Rendimento,12/09/2022,1.03,HABT11
1,29/07/2022,Rendimento,12/08/2022,1.3,HABT11
2,30/06/2022,Rendimento,12/07/2022,1.3,HABT11
3,31/05/2022,Rendimento,10/06/2022,1.4,HABT11
4,29/04/2022,Rendimento,12/05/2022,1.25,HABT11
5,31/03/2022,Rendimento,12/04/2022,1.2,HABT11
6,25/02/2022,Rendimento,11/03/2022,1.3,HABT11
7,31/01/2022,Rendimento,11/02/2022,1.2,HABT11
8,30/12/2021,Rendimento,12/01/2022,1.3,HABT11
9,30/11/2021,Rendimento,10/12/2021,1.5,HABT11
10,29/10/2021,Rendimento,12/11/2021,1.5,HABT11
11,30/09/2021,Rendimento,11/10/2021,1.5,HABT11
12,31/08/2021,Rendimento,10/09/2021,1.5,HABT11
13,30/07/2021,Rendimento,12/08/2021,1.6,HABT11
14,30/06/2021,Rendimento,12/07/2021,2.0,HABT11
15,31/05/2021,Rendimento,11/06/2021,1.8,HABT11
16,30/04/2021,Rendimento,12/05/2021,1.8,HABT11
17,31/03/2021,Rendimento,12/04/2021,1.5,HABT11
18,26/02/2021,Rendimento,12/03/2021,1.25,HABT11
19,29/01/2021,Rendimento,12/02/2021,1.25,HABT11
20,30/12/2020,Rendimento,15/01/2021,1.5,HABT11
21,30/11/2020,Rendimento,11/12/2020,1.85,HABT11
22,30/10/2020,Rendimento,12/11/2020,1.31,HABT11
23,30/09/2020,Rendimento,09/10/2020,1.0,HABT11
24,31/08/2020,Rendimento,11/09/2020,0.97,HABT11
25,31/07/2020,Rendimento,12/08/2020,0.92,HABT11
26,30/06/2020,Rendimento,10/07/2020,0.6,HABT11
27,29/05/2020,Rendimento,12/06/2020,0.7,HABT11
28,30/04/2020,Rendimento,12/05/2020,0.71,HABT11
29,31/03/2020,Rendimento,09/04/2020,0.83,HABT11
30,28/02/2020,Rendimento,12/03/2020,0.8,HABT11
31,31/01/2020,Rendimento,12/02/2020,1.29,HABT11
32,30/12/2019,Rendimento,10/01/2020,0.93,HABT11
33,29/11/2019,Rendimento,12/12/2019,0.78,HABT11
34,31/10/2019,Rendimento,12/11/2019,0.78,HABT11
35,30/09/2019,Rendimento,11/10/2019,1.1,HABT11
