,ultima_data_com,tipo,data_pgto,valor,tag
0,08/09/2022,Rendimento,15/09/2022,1.0,DEVA11
1,05/08/2022,Rendimento,12/08/2022,1.25,DEVA11
2,07/07/2022,Rendimento,14/07/2022,1.41,DEVA11
3,07/06/2022,Rendimento,14/06/2022,1.6,DEVA11
4,06/05/2022,Rendimento,13/05/2022,1.4,DEVA11
5,07/04/2022,Rendimento,14/04/2022,1.31,DEVA11
6,08/03/2022,Rendimento,15/03/2022,1.18,DEVA11
7,07/02/2022,Rendimento,14/02/2022,1.25,DEVA11
8,07/01/2022,Rendimento,14/01/2022,1.35,DEVA11
9,07/12/2021,Rendimento,14/12/2021,1.42,DEVA11
10,08/11/2021,Rendimento,16/11/2021,1.4,DEVA11
11,07/10/2021,Rendimento,15/10/2021,1.33,DEVA11
12,08/09/2021,Rendimento,15/09/2021,1.45,DEVA11
13,06/08/2021,Rendimento,13/08/2021,1.26,DEVA11
14,07/07/2021,Rendimento,15/07/2021,1.11,DEVA11
15,08/06/2021,Rendimento,15/06/2021,1.1,DEVA11
16,07/05/2021,Rendimento,14/05/2021,1.37,DEVA11
17,08/04/2021,Rendimento,15/04/2021,1.54,DEVA11
18,05/03/2021,Rendimento,12/03/2021,1.28,DEVA11
19,05/02/2021,Rendimento,12/02/2021,1.95,DEVA11
20,08/01/2021,Rendimento,15/01/2021,2.51,DEVA11
21,07/12/2020,Rendimento,14/12/2020,2.68,DEVA11
