,ultima_data_com,tipo,data_pgto,valor,tag
0,10/08/2022,Rendimento,17/08/2022,1.0,VGIP11
1,12/07/2022,Rendimento,19/07/2022,1.42,VGIP11
2,10/06/2022,Rendimento,20/06/2022,1.75,VGIP11
3,11/05/2022,Rendimento,18/05/2022,1.5,VGIP11
4,12/04/2022,Rendimento,20/04/2022,1.4,VGIP11
5,11/03/2022,Rendimento,18/03/2022,1.2,VGIP11
6,10/02/2022,Rendimento,17/02/2022,1.28,VGIP11
7,12/01/2022,Rendimento,19/01/2022,1.65,VGIP11
8,10/12/2021,Rendimento,17/12/2021,1.55,VGIP11
9,11/11/2021,Rendimento,19/11/2021,1.25,VGIP11
10,13/10/2021,Rendimento,20/10/2021,1.3,VGIP11
11,13/09/2021,Rendimento,20/09/2021,0.91,VGIP11
12,11/08/2021,Rendimento,18/08/2021,1.2,VGIP11
13,13/07/2021,Rendimento,20/07/2021,0.95,VGIP11
14,11/06/2021,Rendimento,18/06/2021,1.04,VGIP11
15,12/05/2021,Rendimento,19/05/2021,0.93,VGIP11
16,13/04/2021,Rendimento,20/04/2021,0.85,VGIP11
17,10/03/2021,Rendimento,17/03/2021,1.15,VGIP11
18,10/02/2021,Rendimento,19/02/2021,1.16,VGIP11
19,13/01/2021,Rendimento,20/01/2021,1.54,VGIP11
20,10/12/2020,Rendimento,17/12/2020,1.25,VGIP11
21,12/11/2020,Rendimento,19/11/2020,1.0,VGIP11
22,13/10/2020,Rendimento,20/10/2020,0.85,VGIP11
23,11/09/2020,Rendimento,18/09/2020,0.75,VGIP11
24,12/08/2020,Rendimento,19/08/2020,0.7,VGIP11
25,10/07/2020,Rendimento,17/07/2020,0.66,VGIP11
26,10/06/2020,Rendimento,18/06/2020,0.75,VGIP11
27,13/05/2020,Rendimento,20/05/2020,1.04,VGIP11
